"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18221173","B","","","0"
"2025-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18235809","B","","","0"
"2025-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18254276","B","","","0"
"2025-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18245175","B","","","0"
"2025-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18266754","B","","","0"
"2025-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219717","B","","","0"
"2025-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220484","B","","","0"
"2025-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","221201","B","","","0"
"2025-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","221881","B","","","0"
"2025-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","223573","B","","","0"
"2025-03","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","77813","B","","","0"
"2025-04","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","78101","B","","","0"
"2025-05","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","79416","B","","","0"
"2025-06","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","80225","B","","","0"
"2025-07","Prince Edward Island","2021A000211","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310827","3.1.1","79093","B","","","0"
"2025-03","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","460911","B","","","0"
"2025-04","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","460993","B","","","0"
"2025-05","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","462626","B","","","0"
"2025-06","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","465433","B","","","0"
"2025-07","Nova Scotia","2021A000212","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310854","4.1.1","466316","B","","","0"
"2025-03","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","363626","B","","","0"
"2025-04","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","364076","B","","","0"
"2025-05","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","364550","B","","","0"
"2025-06","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","364334","B","","","0"
"2025-07","New Brunswick","2021A000213","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310881","5.1.1","366601","B","","","0"
"2025-03","Quebec","2021A000224","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310908","6.1.1","4083219","B","","","0"
"2025-04","Quebec","2021A000224","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310908","6.1.1","4073663","B","","","0"
"2025-05","Quebec","2021A000224","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310908","6.1.1","4074630","B","","","0"
"2025-06","Quebec","2021A000224","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310908","6.1.1","4074185","B","","","0"
"2025-07","Quebec","2021A000224","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310908","6.1.1","4077210","B","","","0"
"2025-03","Ontario","2021A000235","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310935","7.1.1","7036917","B","","","0"
"2025-04","Ontario","2021A000235","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310935","7.1.1","7055935","B","","","0"
"2025-05","Ontario","2021A000235","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310935","7.1.1","7056690","B","","","0"
"2025-06","Ontario","2021A000235","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310935","7.1.1","7043509","B","","","0"
"2025-07","Ontario","2021A000235","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310935","7.1.1","7053217","B","","","0"
"2025-03","Manitoba","2021A000246","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310962","8.1.1","640860","B","","","0"
"2025-04","Manitoba","2021A000246","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310962","8.1.1","639584","B","","","0"
"2025-05","Manitoba","2021A000246","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310962","8.1.1","643162","B","","","0"
"2025-06","Manitoba","2021A000246","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310962","8.1.1","642083","B","","","0"
"2025-07","Manitoba","2021A000246","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310962","8.1.1","643116","B","","","0"
"2025-03","Saskatchewan","2021A000247","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310989","9.1.1","520555","B","","","0"
"2025-04","Saskatchewan","2021A000247","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310989","9.1.1","523171","B","","","0"
"2025-05","Saskatchewan","2021A000247","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310989","9.1.1","526378","B","","","0"
"2025-06","Saskatchewan","2021A000247","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310989","9.1.1","525409","B","","","0"
"2025-07","Saskatchewan","2021A000247","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310989","9.1.1","524544","B","","","0"
"2025-03","British Columbia","2021A000259","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311043","11.1.1","2568390","B","","","0"
"2025-04","British Columbia","2021A000259","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311043","11.1.1","2568134","B","","","0"
"2025-05","British Columbia","2021A000259","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311043","11.1.1","2570685","B","","","0"
"2025-06","British Columbia","2021A000259","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311043","11.1.1","2566446","B","","","0"
"2025-07","British Columbia","2021A000259","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311043","11.1.1","2558869","B","","","0"
"2025-03","Yukon","2021A000260","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311070","12.1.1","25028","B","","","0"
"2025-04","Yukon","2021A000260","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311070","12.1.1","25108","B","","","0"
"2025-05","Yukon","2021A000260","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311070","12.1.1","25378","B","","","0"
"2025-06","Yukon","2021A000260","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311070","12.1.1","25508","B","","","0"
"2025-07","Yukon","2021A000260","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311070","12.1.1","26296","B","","","0"
"2025-03","Northwest Territories","2021A000261","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311097","14.1.1","27191","B","","","0"
"2025-04","Northwest Territories","2021A000261","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311097","14.1.1","27173","B","","","0"
"2025-05","Northwest Territories","2021A000261","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311097","14.1.1","27377","B","","","0"
"2025-06","Northwest Territories","2021A000261","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311097","14.1.1","27579","B","","","0"
"2025-07","Northwest Territories","2021A000261","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311097","14.1.1","27716","B","","","0"
"2025-03","Nunavut","2021A000262","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311124","15.1.1","21968","B","","","0"
"2025-04","Nunavut","2021A000262","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311124","15.1.1","22191","B","","","0"
"2025-05","Nunavut","2021A000262","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311124","15.1.1","22146","B","","","0"
"2025-06","Nunavut","2021A000262","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311124","15.1.1","22199","B","","","0"
"2025-07","Nunavut","2021A000262","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79311124","15.1.1","22322","B","","","0"


